,Unnamed: 0,id_reference,type_reference,designation,programme,code_filiere,coeff_avion,magasin,livrable,constituant,famille_code_filiere,norm_mat_inge,norm_mat_fab,indice_manufacturing,avion_impacte_pp,priorite_pp,indice_client_pp,classe_piece_ref_pp,procedes_speciaux_ind,cms_mat_pp,fournisseur_cmde,supplier_cmde,rang_appro,type_cycle,quantite_commande,cycle_negocie,quantite_receptionnee,etat_reference,etat_reference.1,supplier_achat,fournisseur_achat,indice_client.1,autonomie_matiere,autonomie_quincaillerie,quantite_FAI,type_cycle.1,cycle_fil_rouge_1ere_commande,cycle_fil_rouge_recommande,NRC_fil_rouge_total,RC_fil_rouge,cycle_standard_1ere_commande,cycle_standard_recommande,NRC_standard_total,RC_standard,devise,lag_time,date_besoin_client_new,date_transmission_proc_new,date_emission_commande_new,date_livraison_contractuelle_new,date_livraison_previsionnelle_S_new,date_reception_effective_new,date_livraison_contractuelle_initiale_new,date_affectation_new,total_cycle_duration_new,total_cycle_duration_predict
1815,1816,23346,1,186,2,1,1.0,5,True,False,1,22,22,3,8,1,2,2.0,180,122,3,3,1,2,5,47.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.001266614,74.0,50.0,0.011096774,0.000705798,1,-67,262,371,272,369,431,453,346,290,160.0,259.296996819
3123,3135,31295,0,322,2,26,1.0,11,True,False,4,47,47,3,8,1,2,2.0,63,37,10,10,4,2,1,45.0,1,4,4,11,11,3,2,1,4.0,2,25.0,20.0,0.102852317,0.019557302,50.0,40.0,0.091152375,0.013771261,1,-176,207,336,236,391,444,466,301,251,220.0,213.126592622
961,961,16959,0,266,2,1,1.0,3,False,False,1,22,22,9,2,2,1,2.0,1,120,1,1,2,1,3,19.0,3,4,4,2,2,2,1,1,6.0,1,19.0,19.0,0.023301455,0.003015768,38.0,38.0,0.015534303,0.001954997,2,-58,89,114,84,99,127,140,106,87,96.0,98.0760641177
2339,2340,27885,0,788,2,1,30.0,11,True,False,1,21,21,73,8,4,4,2.0,157,102,3,3,1,2,12,60.0,12,4,4,4,4,5,2,1,150.0,2,37.0,25.0,0.018475073,0.00058778,74.0,50.0,0.011096774,0.000352371,1,-16,211,290,202,292,328,351,267,270,167.0,187.154405024
1469,1470,19424,0,601,2,15,1.0,4,False,False,4,19,19,26,2,2,1,2.0,2,89,2,2,1,1,5,35.0,5,4,4,3,3,2,1,1,5.0,1,35.0,35.0,0.050784641,0.007230373,70.0,70.0,0.050784641,0.002535307,2,-73,33,11,12,4,37,43,12,7,161.0,125.207765106
2941,2942,30617,0,1117,2,9,1.0,1,True,False,3,30,0,3,8,2,2,2.0,61,17,5,5,1,2,5,65.0,1,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.027188955,0.005116088,110.0,120.0,0.020923755,0.003929308,2,27,261,333,239,346,360,383,324,253,121.0,145.743170155
582,582,15975,0,1105,2,9,1.0,5,False,False,3,38,38,26,2,1,1,2.0,2,24,2,2,1,1,2,30.0,2,4,4,3,3,2,1,1,2.0,1,30.0,30.0,0.052837765,0.016154655,60.0,60.0,0.052837765,0.011459606,2,-59,45,66,50,54,57,64,71,47,77.0,95.9050513278
3606,3621,34159,0,362,2,1,1.0,5,True,False,1,21,21,3,8,2,2,3.0,182,106,3,3,1,2,5,47.0,3,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.00058778,74.0,50.0,0.011096774,0.000352371,1,-153,212,367,265,358,431,453,336,284,155.0,167.843850688
1922,1923,24861,0,1365,2,7,1.0,5,True,False,4,44,44,72,9,2,2,2.0,0,37,5,5,1,2,5,60.0,5,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.036563734,0.002833563,100.0,110.0,0.028260656,0.001489202,2,-53,191,239,187,299,310,333,253,196,288.0,256.828137642
2271,2272,27233,0,1469,2,0,1.0,11,True,False,1,21,21,3,8,3,4,2.0,159,104,3,3,1,2,5,80.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.039648094,0.003179396,74.0,50.0,0.017853372,0.001546678,1,-48,202,272,190,288,340,363,269,283,210.0,211.250246518
4195,4211,39254,0,254,2,0,2.0,5,True,False,1,22,22,1,10,1,2,3.0,14,120,3,3,1,2,6,49.0,6,4,4,4,4,2,2,1,20.0,2,58.0,25.0,0.177479413,0.001943012,116.0,50.0,0.079882698,0.001031834,1,-156,296,447,339,513,538,578,447,344,168.0,159.915055643
2601,2602,29435,0,733,2,10,1.0,9,True,False,1,21,21,3,13,3,2,2.0,45,105,3,3,1,2,5,80.0,5,4,4,4,4,2,2,1,5.0,2,58.0,50.0,0.63368305,0.005016645,116.0,100.0,0.285184751,0.002566567,1,-131,194,313,221,343,394,416,294,235,195.0,231.085822736
1108,1108,17383,0,616,2,26,1.0,5,False,False,4,47,47,13,2,1,1,2.0,1,50,8,8,2,1,2,25.0,2,4,4,9,9,2,1,1,4.0,1,25.0,25.0,0.055465358927,0.016783388,50.0,50.0,0.0405427079029,0.016783388,2,-173,54,163,109,158,157,172,147,122,56.0,110.230420351
2362,2363,28006,1,1469,2,0,1.0,1,True,False,1,21,21,73,8,3,4,2.0,45,103,3,3,1,2,5,80.0,9,4,4,4,4,5,2,1,5.0,2,37.0,25.0,0.039648094,0.003289456,74.0,50.0,0.017853372,0.001585764,1,-4,245,290,203,307,355,378,288,270,200.0,232.33785768
635,635,16130,1,124,2,7,8.0,5,False,False,4,19,19,14,2,1,1,2.0,6,87,2,2,4,1,9,51.0,5,4,4,3,3,2,1,1,40.0,1,51.0,41.0,0.060114281,0.00953115,102.0,82.0,0.060114281,0.004836165,2,-203,77,81,56,206,197,221,156,56,265.0,232.276755602
3524,3539,33457,0,260,2,1,1.0,5,True,False,1,22,22,3,8,1,2,2.0,180,119,3,3,1,2,5,47.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.00103931,74.0,50.0,0.011096774,0.000602886,1,-66,226,369,265,358,379,402,336,284,92.0,99.0021886354
2672,2673,29647,1,100,2,9,2.0,5,True,False,3,41,41,3,8,2,4,2.0,240,29,5,5,1,1,9,70.0,1,4,4,3,3,2,2,1,10.0,2,60.0,65.0,0.032146496,0.008378211,120.0,130.0,0.024728074,0.005992826,2,-138,187,366,222,339,383,406,310,237,177.0,166.043080465
1233,1233,17600,0,1357,2,7,1.0,5,False,False,4,19,19,13,0,3,1,2.0,9,87,2,2,1,1,2,30.0,1,4,4,3,3,2,1,1,5.0,1,30.0,35.0,0.020380281,0.010491316,60.0,70.0,0.020380281,0.002943064,2,-54,117,188,137,191,186,202,178,140,64.0,98.313955549
2194,2195,27011,0,378,2,1,14.0,5,True,False,1,21,21,32,8,4,5,2.0,42,103,3,3,2,2,55,60.0,55,4,4,4,4,6,2,1,70.0,2,50.0,30.0,0.018475073,0.00068739,100.0,60.0,0.011096774,0.000421114,1,-15,222,294,215,305,337,360,286,226,216.0,208.439747883
2428,2429,28457,0,439,2,7,1.0,5,True,False,4,19,19,3,8,2,2,2.0,4,89,5,5,1,2,5,60.0,2,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.035854198,0.003533847,100.0,110.0,0.024078925,0.002128414,2,-6,223,289,205,302,318,341,269,219,147.0,146.991098338
2693,2694,29666,0,48,2,3,1.0,5,True,False,4,20,20,3,8,2,2,2.0,218,98,5,5,1,2,5,80.0,1,4,4,3,3,2,2,1,5.0,2,60.0,70.0,0.113223783,0.019944471,120.0,140.0,0.095107978,0.012475789,2,-90,188,313,225,330,352,375,324,240,133.0,156.166447038
2475,2476,28975,0,1371,2,9,1.0,5,True,False,3,34,34,3,8,3,2,2.0,61,21,5,5,1,2,5,65.0,5,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.031491308,0.00109599,110.0,120.0,0.020923755,0.000610031,2,-6,211,300,209,309,321,344,280,222,111.0,132.769651753
4294,4310,40281,0,239,2,1,1.0,5,True,False,1,22,22,3,8,2,2,3.0,180,120,3,3,1,2,10,47.0,10,4,4,4,4,2,2,1,10.0,2,37.0,25.0,0.018475073,0.000687292,74.0,50.0,0.011096774,0.000421203,1,-118,306,467,351,512,543,569,443,356,122.0,122.576379192
2750,2751,29828,0,754,2,7,1.0,5,True,False,4,47,47,3,8,2,2,2.0,204,37,5,5,1,2,5,60.0,5,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.035854198,0.002047173,100.0,110.0,0.024057789,0.001251131,2,-42,211,316,229,329,346,369,307,243,123.0,141.650481583
983,983,17031,0,882,2,9,1.0,4,False,False,3,31,31,14,2,2,1,2.0,1,18,2,2,2,1,4,30.0,1,4,4,3,3,2,1,1,5.0,1,30.0,30.0,0.019670745,0.009931651,60.0,60.0,0.019670745,0.005236675,2,-137,62,135,100,147,142,153,0,100,82.0,151.848144201
2345,2346,27897,0,810,2,1,1.0,11,True,False,1,21,21,42,8,3,4,2.0,157,109,3,3,1,2,5,60.0,5,4,4,4,4,5,2,1,5.0,2,50.0,30.0,0.018475073,0.001039296,100.0,60.0,0.011096774,0.000602933,1,-13,218,292,215,305,325,348,286,226,173.0,185.814106795
2738,2739,29818,1,1067,2,9,1.0,5,True,False,3,41,41,3,8,2,4,2.0,242,29,5,5,1,2,4,65.0,1,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.032146496,0.010900592,110.0,120.0,0.024728074,0.008464725,2,-147,194,366,234,339,405,427,320,248,203.0,208.78647673
305,305,15570,0,1297,2,9,1.0,4,False,False,3,33,33,55,2,1,1,2.0,1,20,2,2,2,1,1,26.0,1,4,4,3,3,2,1,1,2.0,1,26.0,26.0,0.019670745,0.004262392,52.0,52.0,0.019670745,0.004267782,2,-126,28,7,3,19,58,66,5,5,202.0,185.387381071
3889,3904,35929,0,334,2,26,1.0,9,True,False,4,44,44,3,8,2,2,2.0,221,37,10,10,1,1,1,25.0,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.131749208,0.021215249,50.0,40.0,0.116628974,0.015155425,1,-15,283,397,295,381,420,442,374,308,93.0,80.194673731
2080,2081,26585,0,177,2,1,6.0,3,True,False,1,22,22,3,7,2,2,3.0,157,128,6,6,2,1,9,17.0,9,4,4,7,7,2,2,1,15.0,1,17.0,38.9047501237,0.002898529,0.001990625,34.0,77.8095002474,0.002898529,0.001144315,2,-67,173,259,175,257,269,292,222,189,90.0,117.953667599
546,546,15911,1,505,2,0,19.0,3,False,False,1,22,22,9,2,2,1,3.0,1,120,0,0,1,1,74,50.0,74,4,4,1,1,2,1,1,74.0,1,50.0,50.0,0.049063639,0.00172704,100.0,100.0,0.026418883,0.00172704,2,-187,56,80,56,112,122,133,116,75,239.0,202.286344085
2255,2256,27156,0,1324,2,9,1.0,1,True,False,3,34,34,3,8,3,2,2.0,164,21,5,5,1,2,5,65.0,1,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.031491308,0.000855339,110.0,120.0,0.020923755,0.000474145,2,79,259,271,185,303,319,342,246,196,181.0,198.433123788
719,719,16338,0,695,2,26,1.0,5,False,False,4,47,47,25,0,2,1,2.0,1,44,8,8,2,1,5,35.0,3,4,4,9,9,2,1,1,5.0,1,35.0,35.0,0.045289513,0.027626603,70.0,70.0,0.045289513,0.027626603,2,-51,72,100,57,98,87,94,103,70,82.0,95.1512733921
2932,2933,30610,0,1453,2,7,1.0,5,True,False,4,19,19,3,8,2,2,2.0,64,85,5,5,1,2,5,60.0,5,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.035854198,0.00366315,100.0,110.0,0.024057789,0.002256846,2,-58,211,329,234,336,359,382,314,248,120.0,133.75606025
1494,1495,19467,0,952,2,1,32.0,4,False,False,1,19,19,26,2,1,1,2.0,2,79,1,1,3,1,73,36.0,73,4,4,2,2,2,1,1,5.0,1,36.0,38.9047501237,0.019180109,0.000885259,72.0,77.8095002474,0.012786739,0.00044263,2,-133,28,21,41,79,66,75,22,11,187.0,181.952515291
4177,4193,38812,1,208,2,1,1.0,5,True,False,1,22,22,3,8,1,2,3.0,191,120,3,3,1,2,10,47.0,10,4,4,4,4,2,2,1,10.0,2,37.0,25.0,0.018475073,0.001049275,74.0,50.0,0.011096774,0.00061394,1,-89,295,441,331,462,500,525,424,339,114.0,107.205768682
2257,2258,27179,0,1471,2,0,1.0,11,True,False,1,21,21,3,2,1,2,2.0,0,104,6,6,2,1,2,17.0,2,4,4,7,7,2,2,1,4.0,1,22.0,38.9047501237,0.018055419,0.006711906,44.0,77.8095002474,0.018055419,0.004024728,2,-35,179,272,184,264,276,299,231,199,67.0,64.1874321097
4225,4241,39676,1,208,2,1,1.0,5,True,False,1,22,22,3,8,1,2,3.0,191,120,3,3,1,2,10,47.0,10,4,4,4,4,2,2,1,10.0,2,37.0,25.0,0.018475073,0.001049275,74.0,50.0,0.011096774,0.00061394,1,-119,301,456,344,483,516,563,436,349,126.0,123.798335385
4172,4188,38804,1,208,2,1,3.0,5,True,False,1,22,22,3,8,1,2,3.0,191,122,3,3,1,2,30,47.0,12,4,4,4,4,2,2,1,30.0,2,37.0,25.0,0.018475073,0.001049275,74.0,50.0,0.011096774,0.00061394,1,-99,295,441,331,462,505,532,424,339,124.0,114.381202083
3090,3102,31261,0,793,2,5,2.0,11,True,False,4,46,46,72,8,1,2,2.0,0,0,5,5,3,2,8,105.0,2,4,4,3,3,2,2,1,10.0,2,85.0,95.0,0.077746998,0.041030532,170.0,190.0,0.059631192,0.035197953,2,-107,207,340,241,368,390,412,372,257,154.0,194.703598725
2874,2875,30106,0,1163,2,9,1.0,1,True,False,3,30,30,3,8,2,2,2.0,218,17,5,5,1,2,5,65.0,5,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.031491308,0.005362721,110.0,120.0,0.020923755,0.004012768,2,-5,246,321,225,345,358,381,308,239,127.0,174.58482057
3309,3324,32382,0,325,2,26,1.0,11,True,False,4,47,47,3,8,2,2,2.0,80,45,10,10,3,2,1,45.0,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.102852317,0.026672141,50.0,40.0,0.091152375,0.020903226,1,-169,210,347,251,391,442,464,320,264,202.0,202.88748852
1427,1427,19259,0,619,2,26,1.0,5,False,False,4,47,47,35,2,1,3,2.0,2,39,8,8,1,2,2,25.0,2,4,4,9,9,5,1,1,2.0,1,25.0,35.0,0.045289513,0.035674368,50.0,70.0,0.045289513,0.035674399,2,-35,54,83,58,68,54,65,79,57,56.0,84.1392524731
1515,1516,19522,0,1304,2,9,1.0,5,False,False,3,31,31,25,2,1,1,2.0,2,18,2,2,1,2,2,30.0,2,4,4,3,3,2,1,1,2.0,2,35.0,35.0,0.019670745,0.009778157,70.0,70.0,0.019670745,0.005083144,2,5,77,56,36,51,62,64,63,40,104.0,93.0680853941
2668,2669,29646,1,97,2,9,2.0,5,True,False,3,41,41,3,8,2,4,2.0,240,29,5,5,3,2,1,70.0,1,4,4,3,3,2,2,1,10.0,2,60.0,65.0,0.032146496,0.007791767,120.0,130.0,0.024728074,0.005562549,2,-196,187,415,222,377,429,451,310,237,235.0,195.78830702
2276,2277,27236,0,1469,2,0,1.0,11,True,False,1,21,21,32,8,3,4,2.0,159,103,3,3,1,2,5,80.0,5,4,4,4,4,2,2,1,5.0,2,70.0,50.0,0.039648094,0.002519068,140.0,100.0,0.019824047,0.001609224,1,-19,207,295,190,292,312,335,269,205,189.0,219.806728235
2308,2309,27572,0,1469,2,0,1.0,11,True,False,1,21,21,3,8,3,4,2.0,159,103,3,3,1,2,5,80.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.039648094,0.003090766,74.0,50.0,0.017853372,0.001503216,1,-27,202,275,190,292,312,335,269,270,185.0,181.970166579
2051,2052,26170,0,241,2,1,1.0,3,True,False,1,22,22,3,2,1,2,3.0,0,122,6,6,1,1,2,12.0,2,4,4,7,7,2,2,1,2.0,1,12.0,0.0,0.004827862,0.003100433,24.0,0.0,0.004230041,0.000849914,2,-6,168,251,170,255,261,283,219,182,33.0,54.3616925681
456,456,15775,0,1390,2,5,1.0,4,False,False,4,19,19,34,2,2,1,2.0,1,93,21,21,1,1,5,20.0,5,4,4,24,24,2,1,1,5.0,1,20.0,20.0,0.018840437,0.017363697,40.0,40.0,0.012560292,0.011575849,2,-4,48,51,22,33,25,30,45,37,72.0,47.9976300646
1059,1059,17263,0,284,2,15,1.0,4,False,False,4,19,19,9,2,2,1,2.0,1,87,2,2,2,1,1,46.0,1,4,4,3,3,2,1,1,5.0,1,46.0,41.0,0.050784641,0.007112416,92.0,82.0,0.050784641,0.002417403,2,-123,62,152,78,130,131,142,135,92,108.0,97.2490980421
739,739,16431,0,789,2,1,4.0,5,False,False,1,21,21,13,0,0,1,2.0,1,103,1,1,1,2,24,28.0,8,4,4,2,2,2,1,1,24.0,2,19.0,19.0,0.023301455,0.001559559,38.0,38.0,0.015534303,0.000837554,2,-67,89,100,84,91,131,139,100,72,133.0,149.98824579
3506,3521,33357,0,578,2,9,1.0,1,True,False,3,34,34,3,8,2,2,2.0,42,21,5,5,1,2,5,65.0,5,4,4,3,3,2,2,1,1.0,2,55.0,60.0,0.028875839,0.000458886,110.0,120.0,0.018308286,0.000337348,2,9,261,371,275,380,371,394,357,287,88.0,94.7076214629
1373,1373,19189,0,1063,2,5,1.0,4,False,False,4,47,47,14,2,1,3,2.0,1,38,21,21,1,1,5,25.0,5,4,4,24,24,5,1,1,5.0,1,25.0,25.0,0.02949706,0.029036013,50.0,50.0,0.019664707,0.019357342,2,-36,48,63,33,52,46,54,65,47,82.0,52.0069956202
3160,3172,31517,0,327,2,26,1.0,11,True,False,4,44,44,72,8,1,2,2.0,61,39,10,10,2,2,1,45.0,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.102852317,0.019909208,50.0,40.0,0.091152375,0.014123167,1,-146,207,340,249,391,420,442,312,259,188.0,219.782541223
1898,1899,24808,0,893,2,25,1.0,5,True,False,3,30,30,72,9,2,2,2.0,0,17,5,5,1,2,5,65.0,5,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.036805278,0.014187134,110.0,120.0,0.029257026,0.01091318,2,-22,196,284,194,304,318,341,265,209,271.0,215.159238577
807,807,16554,0,1112,2,5,3.0,3,False,False,4,47,47,13,2,2,1,2.0,6,38,2,2,2,1,14,30.0,13,4,4,3,3,2,1,1,15.0,1,30.0,35.0,0.056626988,0.007867266,60.0,70.0,0.056626988,0.003172228,2,-35,106,106,71,102,145,157,109,81,133.0,142.021423408
2131,2132,26793,0,1439,2,0,1.0,5,True,False,1,21,21,3,8,3,2,2.0,157,103,3,3,1,2,5,80.0,5,4,4,4,4,2,2,1,5.0,2,70.0,50.0,0.181233079,0.00215437,140.0,100.0,0.09061654,0.001112023,1,-61,191,263,190,306,337,360,269,205,222.0,229.513753685
85,85,15146,0,469,2,5,1.0,5,False,False,4,47,47,14,2,2,3,2.0,6,38,21,21,1,2,5,40.0,5,4,4,24,24,5,1,1,5.0,2,25.0,25.0,0.021782444,0.013961942,50.0,50.0,0.01452163,0.009307901,2,-6,77,81,38,82,72,70,92,58,68.0,90.4131020942
3231,3243,31716,0,522,2,5,4.0,11,True,False,4,46,46,72,8,1,4,2.0,0,0,5,5,2,1,16,105.0,4,4,4,3,3,2,2,1,20.0,2,85.0,95.0,0.077746998,0.041030532,170.0,190.0,0.059631192,0.035197953,2,-114,210,430,241,366,392,414,372,257,159.0,154.750853694
2772,2773,29885,0,656,2,26,1.0,5,True,False,4,47,44,3,8,3,2,2.0,63,38,10,10,4,2,1,45.0,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.113018886,0.021215249,50.0,40.0,0.098972669,0.015155425,1,-189,201,318,230,381,446,468,289,238,251.0,263.746661446
1283,1283,17743,0,1342,2,1,1.0,4,False,False,1,22,22,14,2,2,1,2.0,1,122,21,21,1,1,5,20.0,5,4,4,24,24,2,1,1,5.0,1,20.0,20.0,0.009347756,0.001358424,40.0,40.0,0.006231837,0.000905639,2,-31,128,199,138,194,189,207,179,149,53.0,76.8577300624
665,665,16189,0,1182,2,5,1.0,4,False,False,4,47,47,38,2,1,1,2.0,2,55,2,2,1,1,5,45.0,1,4,4,3,3,2,1,1,5.0,1,35.0,45.0,0.032098942,0.031862984,70.0,90.0,0.032098942,0.027167971,2,43,91,48,42,53,57,64,49,30,113.0,124.532949538
2976,2977,30716,0,269,2,27,1.0,5,True,False,4,45,45,72,8,2,2,2.0,48,65,10,10,2,2,2,45.0,2,4,4,11,11,2,2,1,5.0,2,25.0,20.0,0.034123686,0.016490667,50.0,40.0,0.026249047,0.011583397,2,-146,200,338,248,391,410,432,318,259,188.0,203.082167827
889,889,16746,0,802,2,1,2.0,5,False,False,1,21,21,13,2,1,1,2.0,2,109,3,3,1,2,10,47.0,8,4,4,4,4,2,2,1,10.0,2,37.0,25.0,0.0,0.000687292,74.0,50.0,0.0,0.000421203,1,-1003,57,122,330,458,482,502,421,338,967.0,903.869375086
357,357,15638,0,711,2,0,1.0,5,False,False,1,21,21,13,2,1,1,2.0,1,104,0,0,1,1,5,35.0,5,4,4,1,1,2,1,1,5.0,1,35.0,38.9047501237,0.022644757,0.000331115,70.0,77.8095002474,0.0405427079029,0.000331217,2,-49,42,24,6,30,28,45,43,26,141.0,92.267243764
1831,1832,23595,0,400,2,26,1.0,5,True,False,4,47,47,42,9,2,2,2.0,85,38,10,10,1,2,1,45.0,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.117672962,0.021215249,50.0,40.0,0.102552727,0.015155425,1,0,222,265,180,292,326,349,238,195,349.0,266.935021201
1949,1950,25284,1,201,2,1,1.0,5,True,False,1,22,22,3,8,1,2,2.0,180,119,3,3,1,2,5,47.0,1,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.001266614,74.0,50.0,0.011096774,0.000705798,1,-91,226,366,265,358,397,419,336,284,117.0,191.301817478
265,265,15451,0,1397,2,15,6.0,4,False,False,4,19,19,34,2,2,1,2.0,2,89,2,2,1,1,5,35.0,3,4,4,3,3,2,1,1,5.0,1,35.0,38.9047501237,0.021960432,0.007173708,70.0,77.8095002474,0.021960432,0.002478695,2,-58,33,13,17,21,16,12,17,10,147.0,126.144445625
3473,3488,33313,0,1221,2,27,1.0,11,True,False,4,21,21,3,8,2,2,2.0,221,116,10,10,2,2,1,25.0,1,4,4,11,11,2,2,1,5.0,2,25.0,20.0,0.087725787,0.017549686,50.0,40.0,0.067481375,0.013058476,2,-193,209,358,263,348,459,481,326,282,202.0,196.064994898
2712,2713,29782,0,1046,2,1,2.0,1,True,False,1,21,21,32,8,2,4,3.0,42,101,3,3,2,2,2,47.0,2,4,4,4,4,5,2,1,10.0,2,37.0,30.0,0.018475073,0.00103931,74.0,60.0,0.011096774,0.000602886,1,-87,206,314,224,339,378,401,287,238,163.0,197.80833736
2074,2075,26260,0,1117,2,9,1.0,3,True,False,3,30,30,3,8,3,2,2.0,164,17,5,5,1,2,5,65.0,5,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.031491308,0.003161305,110.0,120.0,0.020923755,0.002338817,2,-166,163,256,185,279,299,322,262,187,173.0,259.123434453
1709,1710,19935,0,150,2,9,1.0,4,False,False,3,37,37,14,6,1,1,2.0,9,23,2,2,2,2,2,50.0,2,4,4,3,3,2,1,1,3.0,2,30.0,30.0,0.02232773,0.023321231,60.0,60.0,0.02232773,0.018626218,2,-1,132,188,135,205,201,212,187,139,70.0,89.7338541485
3332,3347,32421,1,191,2,5,1.0,5,True,False,4,19,19,32,8,2,2,3.0,239,87,5,5,2,1,4,57.0,4,4,4,6,6,2,2,1,1.0,1,50.0,55.0,0.032846974,0.002406918,100.0,110.0,0.021050566,0.001481904,2,-119,243,383,282,391,441,463,369,296,201.0,169.129258662
3262,3277,31780,0,633,2,26,1.0,5,True,False,4,47,47,3,8,2,2,2.0,63,55,5,5,3,2,3,80.0,3,4,4,3,3,2,2,1,5.0,2,60.0,70.0,0.113223783,0.026947163,120.0,140.0,0.095107978,0.016819464,2,-161,197,344,247,409,420,442,344,258,183.0,197.58817428
2261,2262,27184,0,447,2,1,1.0,11,True,False,1,22,22,32,2,1,2,2.0,128,122,6,6,1,1,3,17.0,4,4,4,7,7,2,2,1,4.0,1,17.0,38.9047501237,0.003140073,0.007927174,34.0,77.8095002474,0.003140073,0.004725961,2,-77,175,272,184,262,276,299,229,199,83.0,109.0887476
2169,2170,26848,0,230,2,7,1.0,5,True,False,4,44,44,3,8,3,2,3.0,164,39,5,5,1,2,5,60.0,5,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.025734709,0.001531464,100.0,110.0,0.013657506,0.001164646,2,16,191,266,188,274,290,313,255,204,141.0,132.41154247
3358,3373,32727,0,235,2,7,1.0,5,True,False,4,47,47,3,8,2,2,2.0,221,35,5,5,2,2,4,60.0,4,4,4,3,3,2,2,1,5.0,1,50.0,55.0,0.035854198,0.001733801,100.0,110.0,0.024057789,0.001049175,2,-71,217,354,253,365,373,396,342,263,107.0,113.102289965
2714,2715,29797,0,1261,2,25,1.0,5,True,False,3,30,30,3,8,2,2,2.0,124,17,5,5,1,2,5,65.0,1,4,4,6,6,2,2,1,5.0,2,55.0,60.0,0.032146496,0.014461837,110.0,120.0,0.024728074,0.011104667,2,-63,201,318,236,330,351,374,308,239,130.0,161.491760903
686,686,16211,0,541,2,15,2.0,5,False,False,4,47,47,15,2,2,1,2.0,1,38,2,2,1,1,12,35.0,12,4,4,3,3,2,1,1,12.0,1,35.0,45.0,0.050784641,0.00710598,70.0,90.0,0.050784641,0.002410912,2,-90,54,88,60,95,96,105,103,71,107.0,113.97036884
2656,2657,29643,0,494,2,11,1.0,11,True,False,4,49,49,3,8,2,2,2.0,77,65,10,10,2,2,2,45.0,2,4,4,11,11,2,2,1,5.0,2,25.0,20.0,0.022418309,0.018508314,50.0,40.0,0.017285498,0.014009556,2,-152,207,313,228,395,421,443,291,242,231.0,212.545718266
1763,1764,22501,0,1132,2,27,1.0,3,True,False,4,0,0,0,14,2,0,2.12111947319,0,0,10,10,1,2,1,45.0,1,4,4,11,11,0,2,2,1.0,2,25.0,20.0,0.0,0.0,50.0,40.0,0.0405427079029,0.004211925,2,84,157,219,154,243,246,265,208,163,74.0,75.0051511746
125,125,15187,0,627,2,26,1.0,6,True,False,4,47,47,25,2,1,3,2.0,2,59,9,9,1,1,2,25.0,1,4,4,12,12,5,1,1,2.0,1,30.0,30.0,0.126165261,0.017410497,60.0,60.0,0.126165261,0.017410497,2,-69,68,97,57,81,97,107,91,65,84.0,118.356144869
3631,3646,34273,0,1082,2,1,2.0,5,True,False,1,21,21,3,8,1,2,2.0,180,111,3,3,2,2,3,47.0,3,4,4,4,4,2,2,1,10.0,2,37.0,25.0,0.018475073,0.00058778,74.0,50.0,0.011096774,0.000352371,1,-64,235,367,265,380,389,411,336,284,100.0,100.770637673
2400,2401,28138,0,1469,2,0,1.0,11,True,False,1,21,21,3,8,3,4,2.0,275,104,3,3,1,2,5,60.0,5,4,4,4,4,2,2,1,5.0,2,70.0,50.0,0.039648094,0.003090766,140.0,100.0,0.019824047,0.001526677,1,-119,207,412,194,364,398,420,273,209,247.0,204.967824644
2708,2709,29780,0,63,2,1,2.0,2,True,False,1,22,22,3,8,2,2,2.0,25,122,3,3,1,2,10,47.0,10,4,4,24,24,2,1,1,12.0,1,20.0,20.0,0.007010817,0.000924661,40.0,40.0,0.004673878,0.000616541,2,-61,204,357,220,306,353,376,280,121,133.0,94.0405535118
3532,3547,33464,1,224,2,7,2.0,5,True,False,4,19,19,3,8,1,2,2.0,221,90,5,5,1,2,10,67.0,10,4,4,6,6,2,2,1,10.0,2,57.0,62.0,0.041062492,0.00190881,114.0,124.0,0.028532393,0.001155411,2,-73,239,369,271,349,400,422,327,285,121.0,142.712293515
